symbol,timeframe,entry_time,direction,score,total_r,label_follow,label_fade,label_quality,features
UMAUSDT,4h,2024-01-23T04:00:00+00:00,long,100,-1.0028533109921258,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 1.9999999999999996}"
STORJUSDT,4h,2024-01-29T08:00:00+00:00,long,100,-1.0080242889594877,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 9, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
MAGICUSDT,4h,2024-01-30T08:00:00+00:00,long,100,-1.0073787965544416,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
QNTUSDT,4h,2024-03-01T16:00:00+00:00,long,100,-1.0062674761075723,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
FLOKIUSDT,4h,2024-03-01T16:00:00+00:00,long,100,3.3431498700002855,1,0,A_runner,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
YFIUSDT,4h,2024-03-07T16:00:00+00:00,long,100,-1.0065771164466604,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 12, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
CKBUSDT,4h,2024-03-08T12:00:00+00:00,long,100,-1.0056579614429444,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 13, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
JOEUSDT,4h,2024-03-16T04:00:00+00:00,long,100,0.7935676952621159,1,0,scratch,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 9, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
AGLDUSDT,4h,2024-03-28T04:00:00+00:00,long,100,-1.0092016826647625,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 9, 'trigger_score': 15, 'volume_score': 8, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 2.0000000000000013}"
YGGUSDT,4h,2024-03-25T08:00:00+00:00,long,100,0.7929370531851294,1,0,scratch,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 15, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
SSVUSDT,4h,2024-04-28T00:00:00+00:00,long,100,-1.0045600447107976,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.000000000000001}"
ARUSDT,4h,2024-05-12T12:00:00+00:00,long,100,-1.0107247985486298,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 12, 'volume_score': 6, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
PEOPLEUSDT,4h,2024-05-11T12:00:00+00:00,long,100,2.54788709867321,1,0,valid_follow,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
PYRUSDT,4h,2024-05-20T16:00:00+00:00,long,100,-1.0091582311496583,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
ARUSDT,4h,2024-05-17T04:00:00+00:00,long,100,-1.0056147447792307,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 15, 'compression_score': 9, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
LPTUSDT,4h,2024-05-25T00:00:00+00:00,long,100,-1.0094503963461443,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 13, 'volume_score': 6, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
ZECUSDT,4h,2024-05-27T08:00:00+00:00,long,100,-1.0206134001645397,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
BANDUSDT,4h,2024-05-27T12:00:00+00:00,long,100,-1.0179533978495952,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
LDOUSDT,4h,2024-05-24T00:00:00+00:00,long,100,-1.0059041483956561,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
AGLDUSDT,4h,2024-06-01T08:00:00+00:00,long,100,0.7838330593456022,1,0,scratch,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 12, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
KNCUSDT,4h,2024-06-12T12:00:00+00:00,long,100,-1.0075575250461868,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 9, 'trigger_score': 12, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
YFIUSDT,4h,2024-07-01T08:00:00+00:00,long,100,-1.0197795757521775,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 13, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 4, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
VTHOUSDT,4h,2024-07-14T16:00:00+00:00,long,100,-1.0073710357052,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 12, 'compression_score': 13, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
OGNUSDT,4h,2024-07-29T00:00:00+00:00,long,100,-1.0082416618474876,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
ZECUSDT,4h,2024-07-13T04:00:00+00:00,long,100,2.6874908909780126,1,0,valid_follow,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
SUNUSDT,4h,2024-08-19T16:00:00+00:00,long,100,3.3302008899166475,1,0,A_runner,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
TLMUSDT,4h,2024-08-22T12:00:00+00:00,long,100,-1.0111784220686066,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 15, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 5, 'ict_score': 8, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 3.6557756624646234}"
GALAUSDT,4h,2024-08-23T00:00:00+00:00,long,100,-1.0078094427512454,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
SUSHIUSDT,4h,2024-09-12T00:00:00+00:00,long,100,-1.0133823645693343,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 8, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
KSMUSDT,4h,2024-09-19T00:00:00+00:00,long,100,-1.0129364610007567,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 12, 'compression_score': 9, 'trigger_score': 15, 'volume_score': 6, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
ANKRUSDT,4h,2024-09-12T08:00:00+00:00,long,100,0.7846930429781461,1,0,scratch,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
STORJUSDT,4h,2024-10-12T00:00:00+00:00,long,100,3.330316698149001,1,0,A_runner,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 9, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0000000000000013}"
STORJUSDT,4h,2024-10-19T00:00:00+00:00,long,100,-1.003226939847267,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0000000000000004}"
AGLDUSDT,4h,2024-10-14T08:00:00+00:00,long,100,2.6100657581074835,1,0,valid_follow,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 12, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
GMXUSDT,4h,2024-10-20T12:00:00+00:00,long,100,-1.0124975700734917,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
POWRUSDT,4h,2024-11-09T20:00:00+00:00,long,100,3.3054146947469003,1,0,A_runner,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 15, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 6, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
DYDXUSDT,4h,2024-11-09T04:00:00+00:00,long,100,0.7826598513209772,1,0,scratch,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 4, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
HBARUSDT,4h,2024-11-15T08:00:00+00:00,long,100,3.339001120945604,1,0,A_runner,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 13, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
COMPUSDT,4h,2024-11-22T20:00:00+00:00,long,100,3.3385969961677864,1,0,A_runner,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 12, 'compression_score': 9, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
IOTXUSDT,4h,2024-12-05T04:00:00+00:00,long,99,-1.0068342765330958,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 9, 'trigger_score': 13, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
ZRXUSDT,4h,2024-12-06T00:00:00+00:00,long,100,-1.0031340368519936,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
FLOKIUSDT,4h,2024-11-15T20:00:00+00:00,long,100,-1.0038530364298968,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 11, 'compression_score': 12, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
FLOKIUSDT,4h,2025-01-03T12:00:00+00:00,long,100,-1.0096878673769356,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 16, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 8, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
ONTUSDT,4h,2025-01-17T08:00:00+00:00,long,100,-1.0114968199902434,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 12, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.1030233739837367}"
AGLDUSDT,4h,2024-12-25T00:00:00+00:00,long,100,-1.002407920786593,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 20, 'pullback_score': 11, 'compression_score': 15, 'trigger_score': 15, 'volume_score': 10, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 0, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
KNCUSDT,4h,2025-02-17T00:00:00+00:00,long,100,-1.0189001674987181,0,1,avoid_or_fade,"{'trend_score': 20, 'impulse_score': 18, 'pullback_score': 12, 'compression_score': 9, 'trigger_score': 15, 'volume_score': 8, 'rr_score': 4, 'ict_score': 6, 'divergence_score': 5, 'mtf_score': 8, 'rr_to_tp1': 2.0}"
