symbol,timeframe,index,timestamp,direction,entry,stop,tp1,tp2,tp3,score,trend_score,impulse_score,pullback_score,compression_score,trigger_score,volume_score,rr_score,rr_to_tp1,reason,impulse_start,impulse_end,compression_start,compression_end,ict_score,divergence_score,mtf_score,coinlegs_score,coinlegs_alpha_score,coinlegs_bias,ict_details,divergence_kind,predictive_tag,mtf_details,coinlegs_details
UMAUSDT,4h,133,2024-01-23T04:00:00+00:00,long,6.745,4.792871428571429,10.649257142857142,13.577449999999999,16.505642857142856,100,20,18,11,15,15,10,4,1.9999999999999996,"long reclaim above 6.30000000; valid pullback; ICT(6): bull_fvg[129:131]=5.38900000-5.39300000;bull_ob=1.97600000-2.15500000;ote=4.51863000-4.99514000;sellside_sweep=3.93000000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",112,123,123,132,6,5,8,0,,missing,bull_fvg[129:131]=5.38900000-5.39300000;bull_ob=1.97600000-2.15500000;ote=4.51863000-4.99514000;sellside_sweep=3.93000000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
STORJUSDT,4h,170,2024-01-29T08:00:00+00:00,long,0.683,0.6039314285714287,0.8411371428571428,0.9597399999999998,1.0783428571428568,100,20,18,11,9,15,10,4,2.0,"long reclaim above 0.64460000; valid pullback; ICT(6): bull_fvg[150:152]=0.56550000-0.57160000;bull_ob=0.53380000-0.54500000;ote=0.59222300-0.60349400;sellside_sweep=0.52900000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",156,166,160,169,6,0,8,0,,missing,bull_fvg[150:152]=0.56550000-0.57160000;bull_ob=0.53380000-0.54500000;ote=0.59222300-0.60349400;sellside_sweep=0.52900000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
MAGICUSDT,4h,176,2024-01-30T08:00:00+00:00,long,1.2604,1.1026628571428572,1.5758742857142856,1.8124799999999999,2.049085714285714,100,20,18,11,12,15,10,4,2.0,"long reclaim above 1.17490000; valid pullback; ICT(6): bull_fvg[159:161]=1.09640000-1.11370000;bull_ob=1.01830000-1.04550000;ote=1.10177100-1.12133800;sellside_sweep=1.01210000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",160,171,166,175,6,0,8,0,,missing,bull_fvg[159:161]=1.09640000-1.11370000;bull_ob=1.01830000-1.04550000;ote=1.10177100-1.12133800;sellside_sweep=1.01210000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
FLOKIUSDT,4h,364,2024-03-01T16:00:00+00:00,long,8.391e-05,5.151664285714286e-05,0.0001486967142857143,0.00019728675,0.00024587678571428575,100,20,18,11,12,15,10,4,2.0,"long reclaim above 0.00006400; valid pullback; ICT(8): bull_fvg[361:363]=0.00005558-0.00005606;bull_ob=0.00004473-0.00004974;ote=0.00004783-0.00005106;sellside_sweep=0.00004242;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",346,357,354,363,8,0,8,0,,missing,bull_fvg[361:363]=0.00005558-0.00005606;bull_ob=0.00004473-0.00004974;ote=0.00004783-0.00005106;sellside_sweep=0.00004242;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
QNTUSDT,4h,364,2024-03-01T16:00:00+00:00,long,127.0,108.53,163.94,191.64499999999998,219.35,100,20,20,11,12,15,10,4,2.0,"long reclaim above 119.30000000; valid pullback; ICT(8): bull_fvg[361:363]=114.80000000-115.90000000;bull_ob=102.00000000-115.00000000;ote=105.10800000-107.62400000;sellside_sweep=102.00000000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",352,357,354,363,8,0,8,0,,missing,bull_fvg[361:363]=114.80000000-115.90000000;bull_ob=102.00000000-115.00000000;ote=105.10800000-107.62400000;sellside_sweep=102.00000000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
YFIUSDT,4h,400,2024-03-07T16:00:00+00:00,long,10289.0,8857.285714285714,13152.428571428572,15300.000000000002,17447.57142857143,100,20,20,12,12,15,10,4,2.0,"long reclaim above 9857.00000000; valid pullback; ICT(8): bull_fvg[390:392]=9419.00000000-9469.00000000;bull_ob=9072.00000000-9519.00000000;ote=9872.49000000-10173.22000000;sellside_sweep=8078.00000000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",385,387,390,399,8,0,8,0,,missing,bull_fvg[390:392]=9419.00000000-9469.00000000;bull_ob=9072.00000000-9519.00000000;ote=9872.49000000-10173.22000000;sellside_sweep=8078.00000000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
CKBUSDT,4h,405,2024-03-08T12:00:00+00:00,long,0.021589,0.018143014285714288,0.028480971428571426,0.03364995,0.03881892857142856,100,20,20,11,15,13,10,4,2.0,"long reclaim above 0.02149200; valid pullback; ICT(8): bull_fvg[390:392]=0.01899800-0.02045100;bull_ob=0.01526700-0.01630000;ote=0.01690206-0.01810668;sellside_sweep=0.01541400;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",381,392,395,404,8,0,8,0,,missing,bull_fvg[390:392]=0.01899800-0.02045100;bull_ob=0.01526700-0.01630000;ote=0.01690206-0.01810668;sellside_sweep=0.01541400;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
JOEUSDT,4h,451,2024-03-16T04:00:00+00:00,long,0.8665,0.6861671428571428,1.2271657142857146,1.4976650000000005,1.7681642857142865,100,20,18,11,9,15,10,4,2.0,"long reclaim above 0.84010000; valid pullback; ICT(6): bull_fvg[429:431]=0.74200000-0.77050000;bull_ob=0.62170000-0.64240000;ote=0.72361200-0.76053600;sellside_sweep=0.69300000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",430,441,441,450,6,0,8,0,,missing,bull_fvg[429:431]=0.74200000-0.77050000;bull_ob=0.62170000-0.64240000;ote=0.72361200-0.76053600;sellside_sweep=0.69300000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
YGGUSDT,4h,506,2024-03-25T08:00:00+00:00,long,1.1358,0.9220878571428571,1.5632242857142855,1.8837924999999998,2.2043607142857136,100,20,20,15,12,15,10,4,2.0,"long reclaim above 1.06600000; valid pullback; ICT(6): bull_fvg[503:505]=0.95360000-0.97650000;bull_ob=0.83400000-0.88250000;ote=0.89584400-0.92583200;sellside_sweep=0.79080000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",493,495,496,505,6,5,8,0,,missing,bull_fvg[503:505]=0.95360000-0.97650000;bull_ob=0.83400000-0.88250000;ote=0.89584400-0.92583200;sellside_sweep=0.79080000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
AGLDUSDT,4h,523,2024-03-28T04:00:00+00:00,long,1.692,1.519692857142857,2.036614285714286,2.2950750000000006,2.553535714285715,100,20,20,11,9,15,8,4,2.0000000000000013,"long reclaim above 1.65200000; valid pullback; ICT(6): bull_fvg[520:522]=1.59700000-1.60000000;bull_ob=1.36400000-1.39600000;ote=1.46622000-1.49716000;sellside_sweep=1.40300000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",504,515,513,522,6,5,8,0,,missing,bull_fvg[520:522]=1.59700000-1.60000000;bull_ob=1.36400000-1.39600000;ote=1.46622000-1.49716000;sellside_sweep=1.40300000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
SSVUSDT,4h,708,2024-04-28T00:00:00+00:00,long,52.88,42.641214285714284,73.35757142857145,88.71575000000001,104.0739285714286,100,20,20,11,12,15,10,4,2.000000000000001,"long reclaim above 50.89000000; valid pullback; ICT(6): bull_fvg[704:706]=46.10000000-47.02000000;bull_ob=43.24000000-43.95000000;ote=43.85620000-44.91360000;sellside_sweep=42.55000000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",686,693,698,707,6,0,8,0,,missing,bull_fvg[704:706]=46.10000000-47.02000000;bull_ob=43.24000000-43.95000000;ote=43.85620000-44.91360000;sellside_sweep=42.55000000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
PEOPLEUSDT,4h,789,2024-05-11T12:00:00+00:00,long,0.03228,0.026524142857142857,0.043791714285714295,0.052425500000000014,0.06105928571428573,100,20,20,11,12,15,10,4,2.0,"long reclaim above 0.03100000; valid pullback; ICT(8): bull_fvg[785:787]=0.02805000-0.02940000;bull_ob=0.02455000-0.02537000;ote=0.02663030-0.02789340;sellside_sweep=0.02437000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",774,782,779,788,8,0,8,0,,missing,bull_fvg[785:787]=0.02805000-0.02940000;bull_ob=0.02455000-0.02537000;ote=0.02663030-0.02789340;sellside_sweep=0.02437000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
ARUSDT,4h,795,2024-05-12T12:00:00+00:00,long,42.737,38.971314285714286,50.268371428571434,55.91690000000001,61.56542857142858,100,20,20,11,12,12,6,4,2.0,"long reclaim above 42.41100000; valid pullback; ICT(8): bull_fvg[776:778]=40.15700000-40.31700000;bull_ob=38.10600000-40.15700000;ote=39.34734000-40.56352000;sellside_sweep=37.84500000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",777,782,785,794,8,0,8,0,,missing,bull_fvg[776:778]=40.15700000-40.31700000;bull_ob=38.10600000-40.15700000;ote=39.34734000-40.56352000;sellside_sweep=37.84500000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
ARUSDT,4h,823,2024-05-17T04:00:00+00:00,long,48.44,40.65428571428571,64.01142857142857,75.69,87.36857142857141,100,20,20,15,9,15,10,4,2.0,"long reclaim above 46.74000000; valid pullback; ICT(6): bull_fvg[812:814]=41.55000000-43.10300000;bull_ob=40.51300000-41.55000000;ote=41.82067000-42.87926000;sellside_sweep=37.72500000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",812,814,813,822,6,0,8,0,,missing,bull_fvg[812:814]=41.55000000-43.10300000;bull_ob=40.51300000-41.55000000;ote=41.82067000-42.87926000;sellside_sweep=37.72500000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
PYRUSDT,4h,844,2024-05-20T16:00:00+00:00,long,4.961,4.453535714285715,5.975928571428572,6.737125000000001,7.498321428571429,100,20,18,11,15,15,10,4,2.0,"long reclaim above 4.77200000; valid pullback; ICT(6): bull_fvg[828:830]=4.69500000-4.70600000;bull_ob=4.17500000-4.31900000;ote=4.29260000-4.38780000;sellside_sweep=4.45300000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",819,828,834,843,6,0,8,0,,missing,bull_fvg[828:830]=4.69500000-4.70600000;bull_ob=4.17500000-4.31900000;ote=4.29260000-4.38780000;sellside_sweep=4.45300000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
LDOUSDT,4h,864,2024-05-24T00:00:00+00:00,long,2.334,1.9755714285714285,3.050857142857143,3.5885000000000007,4.126142857142858,100,20,20,11,12,15,10,4,2.0,"long reclaim above 2.27900000; valid pullback; ICT(6): bull_fvg[845:847]=2.16000000-2.21300000;bull_ob=1.73400000-1.77200000;ote=2.06835000-2.14230000;sellside_sweep=1.74900000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",845,856,854,863,6,0,8,0,,missing,bull_fvg[845:847]=2.16000000-2.21300000;bull_ob=1.73400000-1.77200000;ote=2.06835000-2.14230000;sellside_sweep=1.74900000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
LPTUSDT,4h,870,2024-05-25T00:00:00+00:00,long,23.512,21.176992857142857,28.18201428571429,31.684525000000004,35.18703571428572,100,20,18,11,12,13,6,4,2.0,"long reclaim above 23.41200000; valid pullback; ICT(6): bull_fvg[854:856]=23.00000000-23.81900000;bull_ob=21.19500000-22.27000000;ote=22.26725000-23.07050000;sellside_sweep=20.59000000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",854,863,860,869,6,5,8,0,,missing,bull_fvg[854:856]=23.00000000-23.81900000;bull_ob=21.19500000-22.27000000;ote=22.26725000-23.07050000;sellside_sweep=20.59000000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
ZECUSDT,4h,884,2024-05-27T08:00:00+00:00,long,27.41,26.123214285714287,29.983571428571427,31.913749999999997,33.84392857142856,100,20,18,11,15,15,10,4,2.0,"long reclaim above 27.18000000; valid pullback; ICT(6): bull_fvg[862:864]=24.58000000-25.20000000;bull_ob=23.88000000-24.58000000;ote=25.78800000-26.26400000;sellside_sweep=25.20000000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",864,875,874,883,6,0,8,0,,missing,bull_fvg[862:864]=24.58000000-25.20000000;bull_ob=23.88000000-24.58000000;ote=25.78800000-26.26400000;sellside_sweep=25.20000000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
BANDUSDT,4h,885,2024-05-27T12:00:00+00:00,long,1.789,1.6929214285714285,1.9811571428571428,2.1252750000000002,2.269392857142857,100,20,18,11,15,15,10,4,2.0,"long reclaim above 1.75400000; valid pullback; ICT(8): bull_fvg[869:871]=1.73600000-1.73700000;bull_ob=1.54300000-1.59000000;ote=1.57080000-1.61840000;sellside_sweep=1.57700000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",863,874,875,884,8,0,8,0,,missing,bull_fvg[869:871]=1.73600000-1.73700000;bull_ob=1.54300000-1.59000000;ote=1.57080000-1.61840000;sellside_sweep=1.57700000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
AGLDUSDT,4h,914,2024-06-01T08:00:00+00:00,long,1.411,1.29975,1.6335000000000002,1.8003750000000003,1.9672500000000004,100,20,20,11,12,12,10,4,2.0,"long reclaim above 1.40700000; valid pullback; ICT(6): bull_fvg[899:901]=1.30500000-1.33600000;bull_ob=1.17800000-1.19400000;ote=1.28669000-1.31882000;sellside_sweep=1.28500000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",882,893,904,913,6,0,8,0,,missing,bull_fvg[899:901]=1.30500000-1.33600000;bull_ob=1.17800000-1.19400000;ote=1.28669000-1.31882000;sellside_sweep=1.28500000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
KNCUSDT,4h,981,2024-06-12T12:00:00+00:00,long,0.8012,0.7031314285714285,0.997337142857143,1.1444400000000003,1.2915428571428575,100,20,20,11,9,12,10,4,2.0,"long reclaim above 0.79940000; valid pullback; ICT(8): bull_fvg[978:980]=0.75060000-0.76310000;bull_ob=0.62120000-0.72210000;ote=0.68789800-0.70554400;sellside_sweep=0.70630000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",955,965,971,980,8,0,8,0,,missing,bull_fvg[978:980]=0.75060000-0.76310000;bull_ob=0.62120000-0.72210000;ote=0.68789800-0.70554400;sellside_sweep=0.70630000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
YFIUSDT,4h,1094,2024-07-01T08:00:00+00:00,long,6564.0,6243.185714285714,7205.628571428571,7686.85,8168.071428571428,100,20,20,11,12,13,10,4,2.0,"long reclaim above 6541.00000000; valid pullback; ICT(6): bull_fvg[1086:1088]=6403.00000000-6419.00000000;bull_ob=5733.00000000-5815.00000000;ote=6116.98000000-6242.44000000;sellside_sweep=5962.00000000;ny_killzone=False; DIV(4): regular_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1074,1085,1084,1093,6,4,8,0,,missing,bull_fvg[1086:1088]=6403.00000000-6419.00000000;bull_ob=5733.00000000-5815.00000000;ote=6116.98000000-6242.44000000;sellside_sweep=5962.00000000;ny_killzone=False,regular_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
ZECUSDT,4h,1165,2024-07-13T04:00:00+00:00,long,25.6,23.270785714285715,30.258428571428574,33.752250000000004,37.24607142857143,100,20,18,11,15,15,10,4,2.0,"long reclaim above 24.76000000; valid pullback; ICT(6): bull_fvg[1162:1164]=23.73000000-23.93000000;bull_ob=19.30000000-20.69000000;ote=21.22100000-21.74800000;sellside_sweep=21.28000000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1141,1152,1155,1164,6,5,8,0,,missing,bull_fvg[1162:1164]=23.73000000-23.93000000;bull_ob=19.30000000-20.69000000;ote=21.22100000-21.74800000;sellside_sweep=21.28000000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
