symbol,timeframe,index,timestamp,direction,entry,stop,tp1,tp2,tp3,score,trend_score,impulse_score,pullback_score,compression_score,trigger_score,volume_score,rr_score,rr_to_tp1,reason,impulse_start,impulse_end,compression_start,compression_end,ict_score,divergence_score,mtf_score,coinlegs_score,coinlegs_alpha_score,coinlegs_bias,ict_details,divergence_kind,predictive_tag,mtf_details,coinlegs_details
VTHOUSDT,4h,1174,2024-07-14T16:00:00+00:00,long,0.002746,0.0024020071428571426,0.0034339857142857153,0.003949975000000001,0.004465964285714288,100,20,20,12,13,15,10,4,2.0,"long reclaim above 0.00272300; valid pullback; ICT(6): bull_fvg[1166:1168]=0.00248700-0.00252800;bull_ob=0.00242800-0.00246400;ote=0.00252234-0.00256552;sellside_sweep=0.00230200;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1167,1170,1164,1173,6,0,8,0,,missing,bull_fvg[1166:1168]=0.00248700-0.00252800;bull_ob=0.00242800-0.00246400;ote=0.00252234-0.00256552;sellside_sweep=0.00230200;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
OGNUSDT,4h,1260,2024-07-29T00:00:00+00:00,long,0.1126,0.09988571428571429,0.13802857142857144,0.15710000000000002,0.1761714285714286,100,20,20,11,12,15,10,4,2.0,"long reclaim above 0.10620000; valid pullback; ICT(6): bull_fvg[1246:1248]=0.09780000-0.10140000;bull_ob=0.08780000-0.09180000;ote=0.09976700-0.10192600;sellside_sweep=0.08650000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1247,1253,1250,1259,6,5,8,0,,missing,bull_fvg[1246:1248]=0.09780000-0.10140000;bull_ob=0.08780000-0.09180000;ote=0.09976700-0.10192600;sellside_sweep=0.08650000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
SUNUSDT,4h,1390,2024-08-19T16:00:00+00:00,long,0.01116,0.009989357142857142,0.013501285714285716,0.015257250000000003,0.01701321428571429,100,20,20,11,12,15,10,4,2.0,"long reclaim above 0.01069000; valid pullback; ICT(6): bull_fvg[1387:1389]=0.01016000-0.01017000;bull_ob=0.00900000-0.00920000;ote=0.00961930-0.01001540;sellside_sweep=0.00913000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1370,1381,1380,1389,6,0,8,0,,missing,bull_fvg[1387:1389]=0.01016000-0.01017000;bull_ob=0.00900000-0.00920000;ote=0.00961930-0.01001540;sellside_sweep=0.00913000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
TLMUSDT,4h,1407,2024-08-22T12:00:00+00:00,long,0.01311,0.01199942857142857,0.01717,0.018465000000000002,0.02025,100,20,20,15,15,15,10,5,3.6557756624646234,"long reclaim above 0.01297000; valid pullback; ICT(8): bull_fvg[1381:1383]=0.01016000-0.01313000;bull_ob=0.00980000-0.01026000;ote=0.01152940-0.01274320;sellside_sweep=0.01164000;ny_killzone=True; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1382,1393,1397,1406,8,5,8,0,,missing,bull_fvg[1381:1383]=0.01016000-0.01313000;bull_ob=0.00980000-0.01026000;ote=0.01152940-0.01274320;sellside_sweep=0.01164000;ny_killzone=True,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
GALAUSDT,4h,1410,2024-08-23T00:00:00+00:00,long,0.01945,0.017140714285714287,0.024068571428571422,0.027532499999999988,0.030996428571428557,100,20,18,11,12,15,10,4,2.0,"long reclaim above 0.01868000; valid pullback; ICT(6): bull_fvg[1401:1403]=0.01789000-0.01825000;bull_ob=0.01694000-0.01756000;ote=0.01757800-0.01788400;sellside_sweep=0.01677000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1394,1405,1400,1409,6,0,8,0,,missing,bull_fvg[1401:1403]=0.01789000-0.01825000;bull_ob=0.01694000-0.01756000;ote=0.01757800-0.01788400;sellside_sweep=0.01677000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
SUSHIUSDT,4h,1530,2024-09-12T00:00:00+00:00,long,0.637,0.5915642857142857,0.7278714285714287,0.7960250000000002,0.8641785714285718,100,20,18,11,12,15,8,4,2.0,"long reclaim above 0.63200000; valid pullback; ICT(6): bull_fvg[1515:1517]=0.62000000-0.62700000;bull_ob=0.55400000-0.57100000;ote=0.59987000-0.60786000;sellside_sweep=0.55200000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1514,1525,1520,1529,6,0,8,0,,missing,bull_fvg[1515:1517]=0.62000000-0.62700000;bull_ob=0.55400000-0.57100000;ote=0.59987000-0.60786000;sellside_sweep=0.55200000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
ANKRUSDT,4h,1532,2024-09-12T08:00:00+00:00,long,0.02526,0.02315257142857143,0.029474857142857146,0.032636000000000005,0.03579714285714286,100,20,20,11,12,15,10,4,2.0,"long reclaim above 0.02500000; valid pullback; ICT(6): bull_fvg[1529:1531]=0.02442000-0.02455000;bull_ob=0.02188000-0.02227000;ote=0.02343660-0.02368480;sellside_sweep=0.02253000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1514,1522,1522,1531,6,0,8,0,,missing,bull_fvg[1529:1531]=0.02442000-0.02455000;bull_ob=0.02188000-0.02227000;ote=0.02343660-0.02368480;sellside_sweep=0.02253000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
KSMUSDT,4h,1572,2024-09-19T00:00:00+00:00,long,21.03,19.480428571428572,24.12914285714286,26.453500000000005,28.777857142857147,100,20,20,12,9,15,6,4,2.0,"long reclaim above 20.80000000; valid pullback; ICT(6): bull_fvg[1560:1562]=19.71000000-19.77000000;bull_ob=19.47000000-19.61000000;ote=20.43020000-20.87560000;sellside_sweep=19.38000000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1547,1551,1562,1571,6,0,8,0,,missing,bull_fvg[1560:1562]=19.71000000-19.77000000;bull_ob=19.47000000-19.61000000;ote=20.43020000-20.87560000;sellside_sweep=19.38000000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
STORJUSDT,4h,1710,2024-10-12T00:00:00+00:00,long,0.4452,0.3981935714285714,0.5392128571428572,0.6097225,0.6802321428571427,100,20,18,11,9,15,10,4,2.0000000000000013,"long reclaim above 0.43480000; valid pullback; ICT(6): bull_fvg[1697:1699]=0.39420000-0.40710000;bull_ob=0.38570000-0.39420000;ote=0.39951400-0.40519200;sellside_sweep=0.37860000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1698,1704,1700,1709,6,0,8,0,,missing,bull_fvg[1697:1699]=0.39420000-0.40710000;bull_ob=0.38570000-0.39420000;ote=0.39951400-0.40519200;sellside_sweep=0.37860000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
AGLDUSDT,4h,1724,2024-10-14T08:00:00+00:00,long,1.043,0.9894428571428572,1.1501142857142854,1.2304499999999996,1.3107857142857138,100,20,18,11,12,12,10,4,2.0,"long reclaim above 1.03900000; valid pullback; ICT(6): bull_fvg[1708:1710]=1.01000000-1.02100000;bull_ob=0.94000000-0.97600000;ote=0.98448000-0.99944000;sellside_sweep=0.96600000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1706,1715,1714,1723,6,0,8,0,,missing,bull_fvg[1708:1710]=1.01000000-1.02100000;bull_ob=0.94000000-0.97600000;ote=0.98448000-0.99944000;sellside_sweep=0.96600000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
STORJUSDT,4h,1752,2024-10-19T00:00:00+00:00,long,0.7428,0.5488235714285714,1.1307528571428573,1.4217175000000002,1.712682142857143,100,20,20,11,12,15,10,4,2.0000000000000004,"long reclaim above 0.66660000; valid pullback; ICT(6): bull_fvg[1744:1746]=0.57850000-0.58900000;bull_ob=0.48160000-0.49670000;ote=0.52083500-0.54863000;sellside_sweep=0.53080000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1731,1742,1742,1751,6,0,8,0,,missing,bull_fvg[1744:1746]=0.57850000-0.58900000;bull_ob=0.48160000-0.49670000;ote=0.52083500-0.54863000;sellside_sweep=0.53080000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
GMXUSDT,4h,1761,2024-10-20T12:00:00+00:00,long,24.73,22.84657142857143,28.49685714285714,31.321999999999996,34.14714285714285,100,20,18,11,15,15,10,4,2.0,"long reclaim above 23.67000000; valid pullback; ICT(8): bull_fvg[1745:1747]=22.94000000-23.01000000;bull_ob=22.24000000-22.68000000;ote=22.64130000-22.90140000;sellside_sweep=22.35000000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1727,1738,1751,1760,8,0,8,0,,missing,bull_fvg[1745:1747]=22.94000000-23.01000000;bull_ob=22.24000000-22.68000000;ote=22.64130000-22.90140000;sellside_sweep=22.35000000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
DYDXUSDT,4h,1879,2024-11-09T04:00:00+00:00,long,1.1423,1.0585185714285714,1.3098628571428574,1.4355350000000004,1.5612071428571435,100,20,18,11,12,15,10,4,2.0,"long reclaim above 1.13460000; valid pullback; ICT(6): bull_fvg[1864:1866]=1.05500000-1.10300000;bull_ob=0.89810000-0.93120000;ote=1.02330900-1.05100200;sellside_sweep=0.89850000;ny_killzone=False; DIV(4): regular_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1861,1871,1869,1878,6,4,8,0,,missing,bull_fvg[1864:1866]=1.05500000-1.10300000;bull_ob=0.89810000-0.93120000;ote=1.02330900-1.05100200;sellside_sweep=0.89850000;ny_killzone=False,regular_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
POWRUSDT,4h,1883,2024-11-09T20:00:00+00:00,long,0.2188,0.20923571428571427,0.23792857142857143,0.252275,0.26662142857142856,100,20,20,15,15,15,6,4,2.0,"long reclaim above 0.21740000; valid pullback; ICT(8): bull_fvg[1869:1871]=0.21680000-0.21700000;bull_ob=0.20550000-0.21120000;ote=0.21117200-0.21341600;sellside_sweep=0.20040000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1869,1871,1873,1882,8,0,8,0,,missing,bull_fvg[1869:1871]=0.21680000-0.21700000;bull_ob=0.20550000-0.21120000;ote=0.21117200-0.21341600;sellside_sweep=0.20040000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
HBARUSDT,4h,1916,2024-11-15T08:00:00+00:00,long,0.07131,0.056492928571428576,0.10094414285714284,0.12316974999999998,0.14539535714285712,100,20,20,11,12,13,10,4,2.0,"long reclaim above 0.06993000; valid pullback; ICT(6): bull_fvg[1911:1913]=0.06273000-0.06290000;bull_ob=0.05341000-0.05614000;ote=0.05811110-0.06217580;sellside_sweep=0.05309000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1900,1911,1906,1915,6,0,8,0,,missing,bull_fvg[1911:1913]=0.06273000-0.06290000;bull_ob=0.05341000-0.05614000;ote=0.05811110-0.06217580;sellside_sweep=0.05309000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
FLOKIUSDT,4h,1919,2024-11-15T20:00:00+00:00,long,0.00025953,0.0002012922857142857,0.0003760054285714286,0.0004633620000000001,0.0005507185714285715,100,20,18,11,12,15,10,4,2.0,"long reclaim above 0.00024810; valid pullback; ICT(8): bull_fvg[1904:1906]=0.00020149-0.00021919;bull_ob=0.00019218-0.00021500;ote=0.00020647-0.00021570;sellside_sweep=0.00017917;ny_killzone=True; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1905,1912,1909,1918,8,5,8,0,,missing,bull_fvg[1904:1906]=0.00020149-0.00021919;bull_ob=0.00019218-0.00021500;ote=0.00020647-0.00021570;sellside_sweep=0.00017917;ny_killzone=True,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
COMPUSDT,4h,1961,2024-11-22T20:00:00+00:00,long,64.61,51.763214285714284,90.30357142857143,109.57375,128.8439285714286,100,20,20,12,9,15,10,4,2.0,"long reclaim above 55.94000000; valid pullback; ICT(8): bull_fvg[1936:1938]=55.05000000-55.21000000;bull_ob=52.06000000-54.46000000;ote=53.98210000-54.83380000;sellside_sweep=51.15000000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1936,1938,1951,1960,8,0,8,0,,missing,bull_fvg[1936:1938]=55.05000000-55.21000000;bull_ob=52.06000000-54.46000000;ote=53.98210000-54.83380000;sellside_sweep=51.15000000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
IOTXUSDT,4h,2035,2024-12-05T04:00:00+00:00,long,0.06598,0.05711692857142857,0.08370614285714285,0.09700075,0.11029535714285714,99,20,18,11,9,13,10,4,2.0,"long reclaim above 0.06537000; valid pullback; ICT(6): bull_fvg[2020:2022]=0.05688000-0.05929000;bull_ob=0.05200000-0.05565000;ote=0.05862480-0.06030440;sellside_sweep=0.05175000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=99",2021,2031,2025,2034,6,0,8,0,,missing,bull_fvg[2020:2022]=0.05688000-0.05929000;bull_ob=0.05200000-0.05565000;ote=0.05862480-0.06030440;sellside_sweep=0.05175000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
ZRXUSDT,4h,2040,2024-12-06T00:00:00+00:00,long,0.8366,0.6126885714285714,1.2844228571428573,1.6202900000000002,1.9561571428571434,100,20,18,11,12,15,10,4,2.0,"long reclaim above 0.69810000; valid pullback; ICT(6): bull_fvg[2027:2029]=0.65790000-0.65920000;bull_ob=0.53050000-0.56480000;ote=0.60811900-0.62748200;sellside_sweep=0.56390000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",2023,2033,2030,2039,6,5,8,0,,missing,bull_fvg[2027:2029]=0.65790000-0.65920000;bull_ob=0.53050000-0.56480000;ote=0.60811900-0.62748200;sellside_sweep=0.56390000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
AGLDUSDT,4h,2154,2024-12-25T00:00:00+00:00,long,2.168,1.4475642857142859,3.6088714285714287,4.689525,5.770178571428572,100,20,20,11,15,15,10,4,2.0,"long reclaim above 1.84400000; valid pullback; ICT(6): bull_fvg[2147:2149]=1.61700000-1.68900000;bull_ob=1.13900000-1.21700000;ote=1.49363000-1.64714000;sellside_sweep=1.44200000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",2130,2141,2144,2153,6,0,8,0,,missing,bull_fvg[2147:2149]=1.61700000-1.68900000;bull_ob=1.13900000-1.21700000;ote=1.49363000-1.64714000;sellside_sweep=1.44200000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
FLOKIUSDT,4h,2211,2025-01-03T12:00:00+00:00,long,0.00019579,0.00017679557142857144,0.0002337788571428571,0.00026227049999999995,0.00029076214285714275,100,20,16,11,15,15,10,4,2.0,"long reclaim above 0.00018706; valid pullback; ICT(8): bull_fvg[2201:2203]=0.00018055-0.00018120;bull_ob=0.00017221-0.00017897;ote=0.00017931-0.00018095;sellside_sweep=0.00016875;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",2202,2204,2201,2210,8,0,8,0,,missing,bull_fvg[2201:2203]=0.00018055-0.00018120;bull_ob=0.00017221-0.00017897;ote=0.00017931-0.00018095;sellside_sweep=0.00016875;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
ONTUSDT,4h,2294,2025-01-17T08:00:00+00:00,long,0.2727,0.2502085714285714,0.32,0.3514200000000001,0.38515714285714303,100,20,20,12,15,15,10,4,2.1030233739837367,"long reclaim above 0.26840000; valid pullback; ICT(6): bull_fvg[2282:2284]=0.24980000-0.25700000;bull_ob=0.23830000-0.24530000;ote=0.25545700-0.26934600;sellside_sweep=0.24090000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",2267,2269,2284,2293,6,0,8,0,,missing,bull_fvg[2282:2284]=0.24980000-0.25700000;bull_ob=0.23830000-0.24530000;ote=0.25545700-0.26934600;sellside_sweep=0.24090000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
KNCUSDT,4h,2478,2025-02-17T00:00:00+00:00,long,0.4425,0.4198935714285714,0.48771285714285717,0.5216225000000001,0.5555321428571429,100,20,18,12,9,15,8,4,2.0,"long reclaim above 0.43780000; valid pullback; ICT(6): bull_fvg[2452:2454]=0.43100000-0.43650000;bull_ob=0.40300000-0.42090000;ote=0.40462200-0.41281600;sellside_sweep=0.41780000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",2451,2454,2468,2477,6,5,8,0,,missing,bull_fvg[2452:2454]=0.43100000-0.43650000;bull_ob=0.40300000-0.42090000;ote=0.40462200-0.41281600;sellside_sweep=0.41780000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
